Name,Grape,Score,Price,Normalized_Score
"Taylor Fladgate Vintage Port, Portugal",Port Blend Red,94,472,8.8
"Dow's Vintage Port, Portugal",Port Blend Red,95,408,9.0
"W & J Graham's Vintage Port, Portugal",Port Blend Red,94,408,8.8
"Fonseca Vintage Port, Portugal",Port Blend Red,94,413,8.8
"Warre's Vintage Port, Portugal",Port Blend Red,93,378,8.6
"Quinta do Noval Vintage Port, Portugal",Port Blend Red,94,398,8.8
"Quinta do Noval Nacional Vintage Port, Portugal",Port Blend Red,96,3772,9.2
"Casa Ferreirinha Barca Velha, Douro, Portugal",Tinta Roriz - Tinto Cao - Touriga,92,1889,8.4
"Cockburn's Vintage Port, Portugal",Port Blend Red,94,313,8.8
"Niepoort Vintage Port, Portugal",Port Blend Red,93,333,8.6
"Cartuxa Pera Manca Tinto, Alentejo, Portugal",Portuguese Red Blend,91,1476,8.2
"Sandeman Vintage Port, Portugal",Port Blend Red,92,631,8.4
"Croft Vintage Port, Portugal",Port Blend Red,92,303,8.4
"Quinta do Vale Meao Tinto, Douro, Portugal",Portuguese Red Blend,93,353,8.6
"Ferreira Vintage Port, Portugal",Port Blend Red,91,447,8.2
"Mateus The Original Rose, Portugal",Baga,86,25,7.2
"Quinta do Vesuvio Single Quinta Vintage Port, Portugal",Port Blend Red,93,293,8.6
"Taylor Fladgate Quinta de Vargellas Vintage Port, Portugal",Port Blend Red,92,234,8.4
"Kopke Vintage Port, Portugal",Port Blend Red,89,229,7.8
"P+S Prats & Symington Chryseia, Douro, Portugal",Touriga Franca - Touriga Nacional,92,244,8.4
"Fonseca Guimaraens Vintage Port, Portugal",Port Blend Red,92,244,8.4
"Casa Santos Lima Colossal Reserva, Vinho Regional Lisboa, Portugal",Portuguese Red Blend,88,45,7.6
"Taylor Fladgate Late Bottled Vintage Port, Portugal",Port Blend Red,90,80,8.0
"W & J Graham's 'The Stone Terraces' Vintage Port, Portugal",Port Blend Red,94,666,8.8
"W & J Graham's Quinta dos Malvedos Vintage Port, Portugal",Port Blend Red,91,214,8.2
"Smith Woodhouse Vintage Port, Portugal",Port Blend Red,91,258,8.2
"Real Companhia Velha Vintage Port, Portugal",Port Blend Red,89,353,7.8
"Burmester Vintage Port, Portugal",Port Blend Red,89,278,7.8
"Herdade do Esporao 'Esporao' Reserva, Alentejo, Portugal",Rare Red Blend,89,75,7.8
"Quinta do Crasto Vinas Velhas - Old Vines Reserva, Douro, Portugal",Portuguese Red Blend,91,124,8.2
"W & J Graham's Late Bottled Vintage Port, Portugal",Port Blend Red,89,80,7.8
"Casa Ferreirinha Quinta da Leda, Douro, Portugal",Tinta Roriz (Aragonez) - Touriga,91,189,8.2
"Calem Vintage Port, Portugal",Port Blend Red,90,268,8.0
"Ramos Pinto Vintage Port, Portugal",Port Blend Red,91,308,8.2
"Churchill's Vintage Port, Portugal",Port Blend Red,91,313,8.2
"Cartuxa Evora Colheita Tinto, Alentejo, Portugal",Portuguese Red Blend,89,84,7.8
"Burmester Colheita Port, Portugal",Port Blend Red,88,512,7.6
"Casa Santos Lima 'Confidencial' Reserva Tinto, Vinho Regional Lisboa, Portugal",Portuguese Red Blend,90,40,8.0
"Aluado Alicante Bouschet, Lisboa, Portugal",Alicante Bouschet,88,45,7.6
"Wine & Soul Pintas Tinto, Douro, Portugal",Portuguese Red Blend,93,343,8.6
"Quinta do Crasto Vinha Maria Teresa, Douro, Portugal",Portuguese Red Blend,93,651,8.6
"Quinta do Vale D. Dona Maria Tinto, Douro, Portugal",Portuguese Red Blend,91,199,8.2
"Taylor Fladgate Vargellas Vinha Velha Vintage Port, Portugal",Port Blend Red,95,910,9.0
"Casal Garcia Branco, Vinho Verde, Portugal",Arinto (Pederna) - Loureiro,85,25,7.0
"Cartuxa Pera Manca Branco, Alentejo, Portugal",Antao Vaz - Arinto (Pederna),91,169,8.2
"Barros Vintage Port, Portugal",Port Blend Red,90,273,8.0
"Quinta do Crasto 'Crasto', Douro, Portugal",Portuguese Red Blend,88,55,7.6
"Quinta do Vallado Reserva Field Blend, Douro, Portugal",Portuguese Red Blend,92,149,8.4
"Warre's Quinta da Cavadinha Vintage Port, Portugal",Port Blend Red,90,154,8.0
"Ferreira Dona Antonia Reserva Tawny Port, Portugal",Port Blend Red,88,70,7.6
"Dow's Late Bottled Vintage Port, Portugal",Port Blend Red,89,84,7.8
"Dow's Quinta do Bomfim Single Quinta Vintage Port, Portugal",Port Blend Red,91,159,8.2
"Offley Boa Vista Vintage Port, Portugal",Port Blend Red,90,283,8.0
"Herdade do Mouchao Tinto, Alentejo, Portugal",Alicante Bouschet,91,179,8.2
"Delaforce Vintage Port, Portugal",Port Blend Red,89,273,7.8
"Cartuxa Evora Reserva Tinto, Alentejo, Portugal",Alicante Bouschet - Aragonez,90,174,8.0
"Herdade do Esporao Monte Velho, Vinho Regional Alentejano, Portugal",Portuguese Red Blend,86,35,7.2
"Quinta de Soalheiro Alvarinho, Vinho Verde, Portugal",Albarino (Alvarinho),90,60,8.0
"Casa Ferreirinha 'Papa Figos' Tinto, Douro, Portugal",Tinta Barroca - Tinta Roriz - Touriga,87,45,7.4
"Warre's Late Bottled Vintage Port, Portugal",Port Blend Red,90,114,8.0
"Vicente Leite Faria Gloria Tinto Reserva, Douro, Portugal",Portuguese Red Blend,89,50,7.8
"C. da Silva Dalva Vintage Port, Portugal",Port Blend Red,90,199,8.0
"Herdade do Mouchao Tonel 3-4, Alentejo, Portugal",Alicante Bouschet,92,626,8.4
"Quinta do Noval Late Bottled Vintage Port, Portugal",Port Blend Red,89,89,7.8
"Sandeman Late Bottled Vintage Port, Portugal",Port Blend Red,89,99,7.8
"Quarles Harris Vintage Port, Portugal",Port Blend Red,89,303,7.8
"Dao Sul Quinta de Cabriz 'Cabriz' Colheita Seleccionada Tinto, Dao, Portugal",Alfrocheiro Preto - Tinta Roriz - Touriga,87,30,7.4
"Aveleda 'Quinta da Aveleda' Loureiro - Alvarinho, Vinho Verde, Portugal",Portuguese White Blend,87,30,7.4
"Quinta do Vesuvio 'A Capela' Vintage Porto, Portugal",Port Blend Red,93,676,8.6
"Quinta do Crasto Touriga Nacional, Douro, Portugal",Touriga Nacional,91,229,8.2
"Ramos Pinto Duas Quintas Reserva, Douro, Portugal",Portuguese Red Blend,90,129,8.0
"Real Companhia Velha Royal Oporto Vintage Port, Portugal",Port Blend Red,88,591,7.6
"Rozes Porto Vintage Port, Portugal",Port Blend Red,90,184,8.0
"Adega de Moncao 'Muralhas de Moncao', Vinho Verde, Portugal",Albarino (Alvarinho),86,30,7.2
"Ramos Pinto Duas Quintas, Douro, Portugal",Tinta Roriz (Aragonez) - Touriga,88,55,7.6
"Taylor Fladgate 20 Year Old Tawny Port, Portugal",Port Blend Red,91,189,8.2
"P+S Prats & Symington Post Scriptum de Chryseia, Douro, Portugal",Portuguese Red Blend,89,80,7.8
"Herdade do Esporao Private Selection, Alentejo, Portugal",Alicante Bouschet - Aragonez,91,184,8.2
"W & J Graham's 20 Year Old Tawny Port, Portugal",Port Blend Red,91,194,8.2
"Cockburn's Special Reserve Port, Portugal",Port Blend Red,87,65,7.4
"Quinta do Vale D. Dona Maria CV Curriculum Vitae, Douro, Portugal",Portuguese Red Blend,92,308,8.4
"Quinta do Vallado Tinto, Douro, Portugal",Portuguese Red Blend,88,60,7.6
