fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality
8.1,0.28,0.4,6.9,0.05,30.0,97.0,0.9951,3.26,0.44,10.1,6
7.2,0.23,0.32,8.5,58.0,47.0,186.0,0.9956,3.19,0.4,9.9,6
7.2,0.23,0.32,8.5,58.0,47.0,186.0,0.9956,3.19,0.4,9.9,6
8.1,0.28,0.4,6.9,0.05,30.0,97.0,0.9951,3.26,0.44,10.1,6
6.2,0.32,0.16,7.0,45.0,30.0,136.0,0.9949,3.18,0.47,9.6,6
8.1,0.22,0.43,1.5,44.0,28.0,129.0,0.9938,3.22,0.45,11.0,6
8.1,0.27,0.41,1.45,33.0,11.0,63.0,0.9908,2.99,0.56,12.0,5
8.6,0.23,0.4,4.2,35.0,17.0,109.0,0.9947,3.14,0.53,9.7,5
6.6,0.16,0.4,1.5,44.0,48.0,143.0,0.9912,3.54,0.52,12.4,7
8.3,0.42,0.62,19.25,0.04,41.0,172.0,1.0002,2.98,0.67,9.7,5
6.6,0.17,0.38,1.5,32.0,28.0,112.0,0.9914,3.25,0.55,11.4,7
6.3,0.48,0.04,1.1,46.0,30.0,99.0,0.9928,3.24,0.36,9.6,6
6.2,0.66,0.48,1.2,29.0,29.0,75.0,0.9892,3.33,0.39,12.8,8
7.4,0.34,0.42,1.1,33.0,17.0,171.0,0.9917,3.12,0.53,11.3,6
6.5,0.31,0.14,7.5,44.0,34.0,133.0,0.9955,3.22,0.5,9.5,5
6.2,0.66,0.48,1.2,29.0,29.0,75.0,0.9892,3.33,0.39,12.8,8
6.4,0.31,0.38,2.9,38.0,19.0,102.0,0.9912,3.17,0.35,11.0,7
7.6,0.67,0.14,1.5,74.0,25.0,168.0,0.9937,3.05,0.51,9.3,5
6.6,0.27,0.41,1.3,52.0,16.0,142.0,0.9951,3.42,0.47,10.0,6
7.0,0.25,0.32,9.0,46.0,56.0,245.0,0.9955,3.25,0.5,10.4,6
7.0,0.28,0.39,8.7,51.0,32.0,141.0,0.9961,3.38,0.53,10.5,6
7.4,0.27,0.48,1.1,47.0,17.0,132.0,0.9914,3.19,0.49,11.6,6
7.2,0.32,0.36,2.0,33.0,37.0,114.0,0.9906,3.1,0.71,12.3,7
8.5,0.24,0.39,10.4,44.0,20.0,142.0,0.9974,3.2,0.53,10.0,6
8.3,0.14,0.34,1.1,42.0,7.0,47.0,0.9934,3.47,0.4,10.2,6
6.2,0.12,0.34,1.5,45.0,43.0,117.0,0.9939,3.42,0.51,9.0,6
5.8,0.27,0.2,14.95,44.0,22.0,179.0,0.9962,3.37,0.37,10.2,5
7.3,0.28,0.43,1.7,0.08,21.0,123.0,0.9905,3.19,0.42,12.8,5
6.5,0.39,0.23,5.4,51.0,25.0,149.0,0.9934,3.24,0.35,10.0,5
7.0,0.33,0.32,1.2,53.0,38.0,138.0,0.9906,3.13,0.28,11.2,6
7.3,0.24,0.39,17.95,57.0,45.0,149.0,0.9999,3.21,0.36,8.6,5
7.3,0.24,0.39,17.95,57.0,45.0,149.0,0.9999,3.21,0.36,8.6,5
7.0,0.31,0.26,7.4,69.0,28.0,160.0,0.9954,3.13,0.46,9.8,6
6.6,0.24,0.27,1.4,57.0,33.0,152.0,0.9934,3.22,0.56,9.5,6
6.7,0.23,0.26,1.4,0.06,33.0,154.0,0.9934,3.24,0.56,9.5,6
7.4,0.18,0.31,1.4,58.0,38.0,167.0,0.9931,3.16,0.53,10.0,7
6.2,0.46,0.25,4.4,66.0,62.0,207.0,0.9939,3.25,0.52,9.8,5
7.0,0.31,0.26,7.4,69.0,28.0,160.0,0.9954,3.13,0.46,9.8,6
7.2,0.19,0.31,1.6,62.0,31.0,173.0,0.9917,3.35,0.44,11.7,6
6.6,0.25,0.29,1.1,68.0,39.0,124.0,0.9914,3.34,0.58,11.0,7
6.4,0.18,0.35,1.0,45.0,39.0,108.0,0.9911,3.31,0.35,10.9,6
6.9,0.25,0.35,1.3,39.0,29.0,191.0,0.9908,3.13,0.52,11.0,6
7.2,0.21,0.34,11.9,43.0,37.0,213.0,0.9962,3.09,0.5,9.6,6
6.0,0.19,0.26,12.4,48.0,50.0,147.0,0.9972,3.3,0.36,8.9,6
6.6,0.38,0.15,4.6,44.0,25.0,78.0,0.9931,3.11,0.38,10.2,6
7.4,0.2,0.36,1.2,38.0,44.0,111.0,0.9926,3.36,0.34,9.9,6
6.8,0.22,0.24,4.9,92.0,30.0,123.0,0.9951,3.03,0.46,8.6,6
6.0,0.19,0.26,12.4,48.0,50.0,147.0,0.9972,3.3,0.36,8.9,6
6.6,0.38,0.15,4.6,44.0,25.0,78.0,0.9931,3.11,0.38,10.2,6
7.2,0.24,0.27,1.4,38.0,31.0,122.0,0.9927,3.15,0.46,10.3,6
6.2,0.35,0.03,1.2,64.0,29.0,120.0,0.9934,3.22,0.54,9.1,5
6.4,0.26,0.24,6.4,0.04,27.0,124.0,0.9903,3.22,0.49,12.6,7
6.7,0.23,0.31,2.1,46.0,30.0,96.0,0.9926,3.33,0.64,10.7,8
7.4,0.24,0.29,10.1,0.05,21.0,105.0,0.9962,3.13,0.35,9.5,5
6.2,0.27,0.43,7.8,56.0,48.0,244.0,0.9956,3.1,0.51,9.0,6
6.8,0.3,0.23,4.6,61.0,50.5,238.5,0.9958,3.32,0.6,9.5,5
8.6,0.23,0.46,1.0,54.0,9.0,72.0,0.9941,2.95,0.49,9.1,6
6.7,0.23,0.31,2.1,46.0,30.0,96.0,0.9926,3.33,0.64,10.7,8
7.4,0.24,0.29,10.1,0.05,21.0,105.0,0.9962,3.13,0.35,9.5,5
7.1,0.18,0.36,1.4,43.0,31.0,87.0,0.9898,3.26,0.37,12.7,7
7.0,0.32,0.34,1.3,42.0,20.0,69.0,0.9912,3.31,0.65,12.0,7
7.4,0.18,0.3,8.8,64.0,26.0,103.0,0.9961,2.94,0.56,9.3,5
6.7,0.54,0.28,5.4,0.06,21.0,105.0,0.9949,3.27,0.37,9.0,5
6.8,0.22,0.31,1.4,53.0,34.0,114.0,0.9929,3.39,0.77,10.6,6
7.1,0.2,0.34,16.0,0.05,51.0,166.0,0.9985,3.21,0.6,9.2,6
7.1,0.34,0.2,6.1,63.0,47.0,164.0,0.9946,3.17,0.42,10.0,5
7.3,0.22,0.3,8.2,47.0,42.0,207.0,0.9966,3.33,0.46,9.5,6
7.1,0.43,0.61,11.8,45.0,54.0,155.0,0.9974,3.11,0.45,8.7,5
7.1,0.44,0.62,11.8,44.0,52.0,152.0,0.9975,3.12,0.46,8.7,6
7.2,0.39,0.63,11.0,44.0,55.0,156.0,0.9974,3.09,0.44,8.7,6
6.8,0.25,0.31,13.3,0.05,69.0,202.0,0.9972,3.22,0.48,9.7,6
7.1,0.43,0.61,11.8,45.0,54.0,155.0,0.9974,3.11,0.45,8.7,5
7.1,0.44,0.62,11.8,44.0,52.0,152.0,0.9975,3.12,0.46,8.7,6
7.2,0.39,0.63,11.0,44.0,55.0,156.0,0.9974,3.09,0.44,8.7,6
6.1,0.27,0.43,7.5,49.0,65.0,243.0,0.9957,3.12,0.47,9.0,5
6.9,0.24,0.33,1.7,35.0,47.0,136.0,0.99,3.26,0.4,12.6,7
6.9,0.21,0.33,1.8,34.0,48.0,136.0,0.9899,3.25,0.41,12.6,7
7.5,0.17,0.32,1.7,0.04,51.0,148.0,0.9916,3.21,0.44,11.5,7
7.1,0.26,0.29,12.4,44.0,62.0,240.0,0.9969,3.04,0.42,9.2,6
6.0,0.34,0.66,15.9,46.0,26.0,164.0,0.9979,3.14,0.5,8.8,6
6.0,0.34,0.66,15.9,46.0,26.0,164.0,0.9979,3.14,0.5,8.8,6
7.4,0.25,0.37,13.5,0.06,52.0,192.0,0.9975,3.0,0.44,9.1,5
7.1,0.12,0.32,9.6,54.0,64.0,162.0,0.9962,3.4,0.41,9.4,5
7.4,0.25,0.37,13.5,0.06,52.0,192.0,0.9975,3.0,0.44,9.1,5
7.3,0.13,0.32,14.4,51.0,34.0,109.0,0.9974,3.2,0.35,9.2,6
7.1,0.12,0.32,9.6,54.0,64.0,162.0,0.9962,3.4,0.41,9.4,5
