Name,Grape,Popularity,Score,AvgPrice,NormScore
"Taylor Fladgate Vintage Port, Portugal",Port Blend Red,78,94,477,8.8
"Dow's Vintage Port, Portugal",Port Blend Red,122,95,412,9
"W & J Graham's Vintage Port, Portugal",Port Blend Red,148,94,412,8.8
"Fonseca Vintage Port, Portugal",Port Blend Red,170,94,422,8.8
"Warre's Vintage Port, Portugal",Port Blend Red,253,93,382,8.6
"Quinta do Noval Vintage Port, Portugal",Port Blend Red,254,94,402,8.8
"Quinta do Noval Nacional Vintage Port, Portugal",Port Blend Red,280,96,"3,780",9.2
"Casa Ferreirinha Barca Velha, Douro, Portugal",Tinta Roriz - Tinto Cao - Touriga,539,92,"1,908",8.4
"Kopke Colheita Port, Portugal",Port Blend Red,597,,447,-10
"Cockburn's Vintage Port, Portugal",Port Blend Red,620,94,321,8.8
"Niepoort Vintage Port, Portugal",Port Blend Red,668,93,341,8.6
"Cartuxa Pera Manca Tinto, Alentejo, Portugal",Portuguese Red Blend,747,91,"1,481",8.2
"Sandeman Vintage Port, Portugal",Port Blend Red,749,92,638,8.4
"Croft Vintage Port, Portugal",Port Blend Red,805,92,311,8.4
"Quinta do Vale Meao Tinto, Douro, Portugal",Portuguese Red Blend,863,93,361,8.6
"Ferreira Vintage Port, Portugal",Port Blend Red,915,91,497,8.2
"Mateus The Original Rose, Portugal",Baga,920,86,25,7.2
"Quinta do Vesuvio Single Quinta Vintage Port, Portugal",Port Blend Red,925,93,301,8.6
"Taylor Fladgate Quinta de Vargellas Vintage Port, Portugal",Port Blend Red,"1,052",92,236,8.4
"Kopke Vintage Port, Portugal",Port Blend Red,"1,280",89,231,7.8
"Niepoort Colheita Port, Portugal",Port Blend Red,"1,285",,452,-10
"Taylor Fladgate Very Old Single Harvest Port, Portugal",Port Blend Red,"1,305",,994,-10
"P+S Prats & Symington Chryseia, Douro, Portugal",Touriga Franca - Touriga Nacional,"1,373",92,246,8.4
"Fonseca Guimaraens Vintage Port, Portugal",Port Blend Red,"1,405",92,246,8.4
"Blandy's Vintage Bual, Madeira, Portugal",Bual,"1,468",,"1,265",-10
"Casa Santos Lima Colossal Reserva, Vinho Regional Lisboa, Portugal",Portuguese Red Blend,"1,665",88,45,7.6
"Taylor Fladgate Late Bottled Vintage Port, Portugal",Port Blend Red,"1,714",90,80,8
"W & J Graham's 'The Stone Terraces' Vintage Port, Portugal",Port Blend Red,"1,726",94,688,8.8
"W & J Graham's Quinta dos Malvedos Vintage Port, Portugal",Port Blend Red,"1,731",91,216,8.2
"W & J Graham's Single Harvest Tawny Port, Portugal",Port Blend Red,"1,744",,944,-10
"Smith Woodhouse Vintage Port, Portugal",Port Blend Red,"1,898",91,266,8.2
"Real Companhia Velha Vintage Port, Portugal",Port Blend Red,"2,024",89,351,7.8
"Burmester Vintage Port, Portugal",Port Blend Red,"2,032",89,276,7.8
"Barros Colheita Port, Portugal",Port Blend Red,"2,081",,422,-10
