Você é bolsista PAPE?,Tamanho,Qual modelo?,Cor PRETA,Cor GRAFITTI,Cor ROSA,Cor BRANCA,Cor AZUL BIC,Cor BORDÔ,Cor VERDE MILITAR,Cor VERDE BANDEIRA,Cor CINZA,Cor ROXA
Sim,G,Baby Look,0,1,0,0,0,0,0,0,0,0
Sim,M,Normal,1,0,0,0,0,0,0,0,0,0
Sim,M,Baby Look,1,0,0,0,0,0,1,0,0,0
Sim,GG,Baby Look,0,0,1,0,0,0,0,0,0,1
Sim,M,Normal,2,0,0,1,0,2,0,0,0,0
Sim,G,Normal,0,0,1,0,0,0,0,0,0,1
Sim,M,Normal,0,0,0,2,0,0,0,0,0,0
Sim,M,Normal,1,1,0,0,0,0,0,0,0,0
Sim,P,Normal,0,0,0,0,0,0,0,0,1,0
Sim,P,Normal,0,0,0,0,0,0,1,0,0,0
Sim,M,Normal,0,0,0,0,1,0,0,0,1,0
Sim,M,Normal,0,1,0,0,0,0,1,0,0,0
Sim,M,Normal,1,0,0,0,0,0,0,0,0,1
Sim,M,Baby Look,1,0,0,0,1,0,0,0,0,0
Sim,G,Normal,1,0,0,0,0,1,0,0,0,0
Sim,G,Normal,0,0,0,0,0,1,1,1,0,0
Sim,M,Normal,0,1,0,0,0,0,1,0,0,1
Sim,M,Normal,0,1,0,0,0,0,1,0,0,1
Sim,P,Normal,0,0,0,0,1,0,0,0,0,0
Sim,M,Normal,1,1,0,0,0,1,0,0,0,0
Não,G,Normal,1,0,0,0,0,1,1,0,0,1
Não,M,Normal,1,1,0,0,0,1,0,0,0,0
Não,P,Normal,1,0,0,0,0,1,1,0,0,0
Não,M,Normal,2,0,0,0,0,0,0,0,0,0
Não,M,Normal,0,0,0,0,0,1,0,0,0,0
Não,G,Normal,2,1,0,2,0,0,0,0,0,0
Não,M,Normal,1,0,0,0,0,0,0,0,0,0
Não,M,Normal,0,1,0,0,0,0,0,0,0,1
Não,P,Baby Look,0,0,0,0,0,1,0,0,0,0
Não,XG,Normal,1,0,0,1,0,0,0,0,0,1
Não,G,Normal,2,0,0,0,0,1,0,0,0,0
Não,M,Normal,1,1,0,1,0,0,1,1,1,0
Não,M,Normal,1,0,0,0,0,0,0,0,0,0
Não,P,Normal,0,1,0,0,0,0,0,0,0,0
Não,PP,Baby Look,1,0,0,0,0,1,0,0,0,0
Não,GG,Normal,0,0,0,1,0,0,1,0,0,0
Não,M,Baby Look,1,1,1,0,0,1,1,0,1,1
Não,G,Normal,1,0,0,0,0,1,0,0,0,0
Não,G,Normal,1,0,0,0,0,0,0,0,0,0
Não,M,Normal,0,1,0,0,0,1,0,0,0,0
Não,G,Normal,1,0,0,0,0,0,0,0,0,0
Não,M,Baby Look,1,0,0,0,0,1,0,0,0,0
Não,G,Normal,1,0,0,0,0,0,1,0,0,0
Não,P,Baby Look,0,0,0,1,0,1,0,0,0,0
Não,M,Normal,0,0,0,0,1,0,1,0,0,0
Não,PP,Normal,0,1,0,0,0,0,1,0,0,0
Não,M,Baby Look,2,0,0,0,1,1,0,1,0,0
Não,M,Normal,0,1,0,0,0,0,0,0,0,0
